Mushroom Soup (Salted Meat),0.2,30
Potage (Meat),0.7,50
Potage (Salted Meat),0.7,50
Soup (Meat),0.75,50
Soup (Salted Meat),0.75,50
Stew (Meat),0.75,40
Stew (Salted Meat),0.75,40
Vegetable Soup,0.8,100
Flatbread,0.05,80
Flatbread with Onion,0.1,100
Multigrain Bread,0.15,170
Oat Roll,0.1,110
Rye Bread,0.15,140
Wheat Bread,0.15,150
Wheat Roll,0.1,130
White Bread,0.15,120
Cherry Pie,0.1,240
Fruit Pie,0.1,210
Meat Pie,0.1,220
Poppy Seed Pie,0.1,230
Fish Tart (Fish Meat),0.1,180
Fish Tart (Salted Fish Meat),0.1,180
Fruit Tart,0.1,190
Meat Tart (Meat),0.1,180
Meat Tart (Salted Meat),0.1,180
Pear Tart,0.1,190
Plum Tart,0.1,200
Poison,0.2,40
Potion of Camouflage,0.2,80
Potion of Cure,0.2,50
Potion of Healing I,0.2,40
Potion of Healing II,0.2,50
Potion of Health,0.2,60
Potion of Instant Cure,0.2,40
Potion of Instant Healing I,0.2,40
Potion of Instant Healing II,0.2,50
Potion of Night Vision,0.2,50
Potion of Possibilities,0.2,80
Potion of Satiety,0.2,50
Potion of Saturation,0.2,40
Potion of Sobriety,0.2,50
Potion of Stamina,0.2,40
Potion of Strength,0.2,40
Potion of Temperature,0.2,50
Potion of Weight,0.2,60
Apple Juice,0.6,130
Berry Juice,0.6,110
Cherry Juice,0.6,120
Pear Juice,0.6,140
Plum Juice,0.6,150
Apple Wine,0.6,250
Berry Wine,0.6,190
Cherry Wine,0.6,200
Pear Wine,0.6,260
Plum Wine,0.6,270
Mead,0.4,280
Oat Ale,0.5,180
Oat Beer,0.5,230
Rye Beer,0.5,240
Wheat Beer,0.5,260
